labeling_set_id,label,source_data,vinoai_index,wine_name_for_matching,grape,colour
05914701-014e-32dc-822e-c556bc451d15,a,SK,SK320,NV Smoky Bay Cabernet Sauvignon,Cabernet Sauvignon,Red
05914701-014e-32dc-822e-c556bc451d15,a,NS,NS1933,NV Smoky Bay Cabernet Sauvignon,Cabernet Sauvignon,Red
05914701-014e-32dc-822e-c556bc451d15,a,NL,NL1732,NV Smoky Bay Cabernet Sauvignon,Cabernet Sauvignon,
05914701-014e-32dc-822e-c556bc451d15,a,NS,NS1932,NV Smoky Bay Cabernet Sauvignon,Cabernet Sauvignon,Red
06386b11-ce9a-3f8b-8046-79b07e27320c,a,SK,SK152,NV Sawmill Creek Merlot,Merlot,Red
06386b11-ce9a-3f8b-8046-79b07e27320c,a,PEI,PEI1682,NV Sawmill Creek Merlot,Merlot,Red
06386b11-ce9a-3f8b-8046-79b07e27320c,a,PEI,PEI1681,NV Sawmill Creek Merlot,Merlot,Red
06386b11-ce9a-3f8b-8046-79b07e27320c,a,NS,NS1891,NV Sawmill Creek Merlot,Merlot,Red
06386b11-ce9a-3f8b-8046-79b07e27320c,a,SK,SK287,NV Sawmill Creek Merlot,Merlot,Red
06386b11-ce9a-3f8b-8046-79b07e27320c,a,PEI,PEI1680,NV Sawmill Creek Merlot,Merlot,Red
06386b11-ce9a-3f8b-8046-79b07e27320c,a,NB,NB1560,NV Sawmill Creek Merlot,100% Merlot,
06386b11-ce9a-3f8b-8046-79b07e27320c,a,AB,AB14156,NV Sawmill Creek Merlot,Merlot,Red
06386b11-ce9a-3f8b-8046-79b07e27320c,a,NL,NL1699,NV Sawmill Creek Merlot,Merlot,
06386b11-ce9a-3f8b-8046-79b07e27320c,a,NL,NL1698,NV Sawmill Creek Merlot,Merlot,
0693198d-2daa-350e-95b7-eba860120bcf,a,AB,AB8744,NV Kanonkop Pinotage,Pinotage,Red
0693198d-2daa-350e-95b7-eba860120bcf,b,ON,ON6454,2020 Barista Pinotage,Pinotage,
0693198d-2daa-350e-95b7-eba860120bcf,c,BC,BC2451,NV  Riebeek Cellars Swartland Pinotage,Pinotage,Red
0693198d-2daa-350e-95b7-eba860120bcf,c,BC,BC3876,NV  Riebeek Cellars Swartland Pinotage,,
0693198d-2daa-350e-95b7-eba860120bcf,d,AB,AB8250,NV Intellego Pinotage,Pinotage,Red
0693198d-2daa-350e-95b7-eba860120bcf,e,NS,NS168,NV Barista Pinotage,Pinotage,Red
0693198d-2daa-350e-95b7-eba860120bcf,f,BC,BC2447,NV  Kadette Kanonkop Pinotage,Pinotage,Red
0693198d-2daa-350e-95b7-eba860120bcf,c,AB,AB13368,NV Riebeek Pinotage,Pinotage,Red
0693198d-2daa-350e-95b7-eba860120bcf,g,AB,AB1099,V Barista-coffee Pinotage,Pinotage,Red
0693198d-2daa-350e-95b7-eba860120bcf,c,BC,BC2450,NV  Riebeek Cellars Swartland Pinotage,Pinotage,Red
07a0b5ff-71e9-34ce-abc5-2511881d5821,a,ON,ON4098,2020 Swan Rosé Agiorgitiko,Agiorgitiko,
07a0b5ff-71e9-34ce-abc5-2511881d5821,b,ON,ON4101,2015 Nikolaou Agiorgitiko Ktima Organic,Agiorgitiko,
07a0b5ff-71e9-34ce-abc5-2511881d5821,c,ON,ON4484,2016 San Polino Helichrysum Brunello di Montalcino,Sangiovese Blend,
07a0b5ff-71e9-34ce-abc5-2511881d5821,d,ON,ON4955,2015 Castello di Ama Vigneto La Casuccia Gran Selezione Chianti Classico,Sangiovese Blend,
07a0b5ff-71e9-34ce-abc5-2511881d5821,e,ON,ON6700,2015 Valbuena 5°,Tempranillo Blend,
07a0b5ff-71e9-34ce-abc5-2511881d5821,f,NL,NL264,NV Campo Viejo Gran Reserva Rioja,Tempranillo Blend,
07a0b5ff-71e9-34ce-abc5-2511881d5821,g,NL,NL1465,NV Open Cabernet Merlot VQA,Cabernet Sauvignon Merlot,
07a0b5ff-71e9-34ce-abc5-2511881d5821,h,NB,NB1346,NV Villa Maria Reserve Wairau Valley Sauvignon Blanc,100% Sauvignon Blanc,
07a0b5ff-71e9-34ce-abc5-2511881d5821,i,NB,NB1362,NV St Francis Sauvignon Blanc,100% Sauvignon Blanc,
07a0b5ff-71e9-34ce-abc5-2511881d5821,g,PEI,PEI1444,NV Open Cabernet Merlot VQA,"Cabernet Sauvignon, Merlot",Red
09c2d13c-760f-3ca6-84b8-47e14a51700f,a,QB,QB5024,2014 Domaine Maestracci Corse Calvi Villa Maestracci,Grenache 40 % Nielluccio 40 % Syrah 20 %,Red
09c2d13c-760f-3ca6-84b8-47e14a51700f,a,QB,QB5015,2014 Domaine Maestracci Corse Calvi Villa Maestracci,Vermentino 100 %,White
0b1c2ed2-9479-3fdf-9dd9-b8f232d5a7a9,a,ON,ON2579,NV Gérard Bertrand Côte des Roses Rosé,Rosé- Dry,
0b1c2ed2-9479-3fdf-9dd9-b8f232d5a7a9,a,PEI,PEI807,NV Gerard Bertrand Cote des Roses Rose,"Blend, Cinsaut, Syrah",
0b1c2ed2-9479-3fdf-9dd9-b8f232d5a7a9,a,NL,NL965,NV Gerard Bertrand Cote des Roses Rose,Grenache Blend,
0b1c2ed2-9479-3fdf-9dd9-b8f232d5a7a9,a,SK,SK195,NV Gerard Bertrand Cote Des Roses Rose,Blend,Rose
0b1c2ed2-9479-3fdf-9dd9-b8f232d5a7a9,a,PEI,PEI124,NV Gerard Bertrand Cote des Roses Rose,"Blend, Cinsaut, Syrah",Rosé
0b1c2ed2-9479-3fdf-9dd9-b8f232d5a7a9,a,PEI,PEI119,NV Gerard Bertrand Cote des Roses Rose,Garnacha,Rosé
0b1c2ed2-9479-3fdf-9dd9-b8f232d5a7a9,a,NL,NL963,NV Gerard Bertrand Cote des Roses Rose,Grenache Blend,
0b1c2ed2-9479-3fdf-9dd9-b8f232d5a7a9,a,PEI,PEI804,NV Gerard Bertrand Cote des Roses Rose,Garnacha,
0b1c2ed2-9479-3fdf-9dd9-b8f232d5a7a9,a,NS,NS927,NV Gerard Bertrand Cote Des Roses Rosé,Red Blend,Rosé
0b1c2ed2-9479-3fdf-9dd9-b8f232d5a7a9,a,NL,NL964,NV Gerard Bertrand Cote des Roses Rose,Grenache Blend,
0bea1ef4-1e58-36bc-9c80-f498da44280e,a,AB,AB17250,V Zinck Grand Cru Gewurztraminer,Gewurztraminer,White
0bea1ef4-1e58-36bc-9c80-f498da44280e,b,AB,AB18200,2018 Zind Humbrecht Gewurztraminer Calcaire,Gewurztraminer,White
0bea1ef4-1e58-36bc-9c80-f498da44280e,c,BC,BC1737,2018  Domaine Zind Humbrecht   Gewurztraminer,Gewurztraminer,White
0bea1ef4-1e58-36bc-9c80-f498da44280e,d,AB,AB7362,NV Gewurztraminer Zind Humbrecht,Gewurztraminer,White
0bea1ef4-1e58-36bc-9c80-f498da44280e,e,AB,AB18201,V Zind-humbrecht Gewurztraminer Grand,Gewurztraminer,White
0bea1ef4-1e58-36bc-9c80-f498da44280e,f,SK,SK1012,NV Fetzer Gewurztraminer,Gewurztraminer,White
0bea1ef4-1e58-36bc-9c80-f498da44280e,g,AB,AB6641,V Fetzer Gewurztraminer,Gewurztraminer,White
0bea1ef4-1e58-36bc-9c80-f498da44280e,c,BC,BC1338,2018  Domaine Zind Humbrecht   Gewurztraminer,Gewurztraminer,White
0bea1ef4-1e58-36bc-9c80-f498da44280e,h,BC,BC1339,2018  Domaine Zind Humbrecht Roche Roulee   Gewurztraminer,Gewurztraminer,White
0bea1ef4-1e58-36bc-9c80-f498da44280e,i,AB,AB17249,V Zinck Gewurztraminer,Gewurztraminer,White
10576397-71c2-331b-9dc3-556d397f3663,a,SK,SK787,NV Sawmill Creek Chardonnay,Chardonnay,White
10576397-71c2-331b-9dc3-556d397f3663,a,PEI,PEI1359,NV Sawmill Creek Chardonnay,Chardonnay,White
10576397-71c2-331b-9dc3-556d397f3663,a,NL,NL1694,NV Sawmill Creek Chardonnay,Chardonnay,
10576397-71c2-331b-9dc3-556d397f3663,a,AB,AB14150,NV Sawmill Creek Chardonnay,Chardonnay,White
10576397-71c2-331b-9dc3-556d397f3663,a,NB,NB61,NV Sawmill Creek Chardonnay,,
10576397-71c2-331b-9dc3-556d397f3663,a,NL,NL1695,NV Sawmill Creek Chardonnay,Chardonnay,
10576397-71c2-331b-9dc3-556d397f3663,a,NL,NL1696,NV Sawmill Creek Chardonnay,Chardonnay,
10576397-71c2-331b-9dc3-556d397f3663,a,ON,ON8038,NV Sawmill Creek Chardonnay,Chardonnay,
10576397-71c2-331b-9dc3-556d397f3663,a,NB,NB853,NV Sawmill Creek Chardonnay,,
10576397-71c2-331b-9dc3-556d397f3663,a,AB,AB14151,NV Sawmill Creek Chardonnay,Chardonnay,White
109dee34-dfde-31bb-828e-359a72bfe901,a,SK,SK1204,NV Bodacious Smooth White,Blend,White
109dee34-dfde-31bb-828e-359a72bfe901,a,NL,NL211,NV Bodacious Smooth White,Pinot Gris Blend,
109dee34-dfde-31bb-828e-359a72bfe901,a,AB,AB1696,NV Bodacious Smooth White,Other,White
109dee34-dfde-31bb-828e-359a72bfe901,a,PEI,PEI199,NV Bodacious Smooth White,"Pinot Grigio, Riesling, Muscat",White
109dee34-dfde-31bb-828e-359a72bfe901,a,ON,ON802,NV Bodacious Smooth White,White Blend,
109dee34-dfde-31bb-828e-359a72bfe901,a,NL,NL210,NV Bodacious Smooth White,Pinot Gris Blend,
109dee34-dfde-31bb-828e-359a72bfe901,a,ON,ON8618,NV Bodacious Smooth White,Blend,
109dee34-dfde-31bb-828e-359a72bfe901,a,NL,NL212,NV Bodacious Smooth White,Pinot Gris Blend,
109dee34-dfde-31bb-828e-359a72bfe901,a,AB,AB1695,NV Bodacious Smooth White,Other,White
109dee34-dfde-31bb-828e-359a72bfe901,a,NB,NB156,NV Bodacious Smooth White,,
115cb4f2-0781-3789-8627-29ce083a2cf6,a,BC,BC2212,2012  Chateau La Mission Haut Brion   Pessac Leognan,Bordeaux Blend,Red
115cb4f2-0781-3789-8627-29ce083a2cf6,a,BC,BC3852,2012  Chateau La Mission Haut Brion   Pessac Leognan,Bordeaux Blend,Red
115cb4f2-0781-3789-8627-29ce083a2cf6,a,BC,BC3622,2012  Chateau La Mission Haut Brion   Pessac Leognan,Bordeaux Blend,Red
115d1387-8bee-3237-a22b-5821f2725e3d,a,NB,NB372,NV The Magic Box Amazing Cabernet,100% Cabernet Sauvignon,
115d1387-8bee-3237-a22b-5821f2725e3d,a,ON,ON8383,NV The Magic Box Amazing Cabernet,Cabernet Sauvignon,
115d1387-8bee-3237-a22b-5821f2725e3d,a,NL,NL1810,NV The Magic Box Amazing Cabernet,Cabernet Sauvignon,
13c10df5-ccb0-3418-9ace-6c825e3b23d9,a,BC,BC2894,NV  White Sawmill Creek,Other Blend,White
13c10df5-ccb0-3418-9ace-6c825e3b23d9,a,BC,BC2893,NV  White Sawmill Creek,Other Blend,White
13c10df5-ccb0-3418-9ace-6c825e3b23d9,a,BC,BC2892,NV  White Sawmill Creek,Other Blend,White
146dbc30-b7b1-39ee-9143-4aff2a06e590,a,SK,SK1204,NV Bodacious Smooth White,Blend,White
146dbc30-b7b1-39ee-9143-4aff2a06e590,a,NL,NL211,NV Bodacious Smooth White,Pinot Gris Blend,
146dbc30-b7b1-39ee-9143-4aff2a06e590,a,PEI,PEI203,NV Bodacious Smooth White,Blend,White
146dbc30-b7b1-39ee-9143-4aff2a06e590,a,NS,NS286,NV Bodacious Smooth White,White Blend,White
146dbc30-b7b1-39ee-9143-4aff2a06e590,a,AB,AB1696,NV Bodacious Smooth White,Other,White
146dbc30-b7b1-39ee-9143-4aff2a06e590,a,PEI,PEI199,NV Bodacious Smooth White,"Pinot Grigio, Riesling, Muscat",White
146dbc30-b7b1-39ee-9143-4aff2a06e590,a,NL,NL210,NV Bodacious Smooth White,Pinot Gris Blend,
146dbc30-b7b1-39ee-9143-4aff2a06e590,a,AB,AB1694,NV Bodacious Smooth White,Other,White
146dbc30-b7b1-39ee-9143-4aff2a06e590,a,NB,NB999,NV Bodacious Smooth White,,
146dbc30-b7b1-39ee-9143-4aff2a06e590,a,NS,NS287,NV Bodacious Smooth White,White Blend,White
14a6bb18-6e09-3d65-822b-d0da7f09359c,a,SK,SK787,NV Sawmill Creek Chardonnay,Chardonnay,White
14a6bb18-6e09-3d65-822b-d0da7f09359c,a,PEI,PEI1359,NV Sawmill Creek Chardonnay,Chardonnay,White
14a6bb18-6e09-3d65-822b-d0da7f09359c,a,NL,NL1694,NV Sawmill Creek Chardonnay,Chardonnay,
14a6bb18-6e09-3d65-822b-d0da7f09359c,a,NB,NB1559,NV Sawmill Creek Chardonnay,100% Chardonnay,
14a6bb18-6e09-3d65-822b-d0da7f09359c,a,AB,AB14150,NV Sawmill Creek Chardonnay,Chardonnay,White
14a6bb18-6e09-3d65-822b-d0da7f09359c,a,NB,NB61,NV Sawmill Creek Chardonnay,,
14a6bb18-6e09-3d65-822b-d0da7f09359c,a,PEI,PEI1366,NV Sawmill Creek Chardonnay,Chardonnay,White
14a6bb18-6e09-3d65-822b-d0da7f09359c,a,ON,ON8038,NV Sawmill Creek Chardonnay,Chardonnay,
14a6bb18-6e09-3d65-822b-d0da7f09359c,a,NB,NB853,NV Sawmill Creek Chardonnay,,
14a6bb18-6e09-3d65-822b-d0da7f09359c,a,AB,AB14151,NV Sawmill Creek Chardonnay,Chardonnay,White
1703cc35-531a-333f-867a-788d8e6f51b7,a,NS,NS1396,NV Masi Campofiorin,Corvina,Red
1703cc35-531a-333f-867a-788d8e6f51b7,a,SK,SK54,NV Masi Campofiorin,Blend,Red
1703cc35-531a-333f-867a-788d8e6f51b7,a,AB,AB10578,NV Masi Campofiorin,Other,Red
1703cc35-531a-333f-867a-788d8e6f51b7,a,NL,NL1347,NV Masi Campofiorin,Corvina Blend,
1703cc35-531a-333f-867a-788d8e6f51b7,a,AB,AB10579,NV Masi Campofiorin,Other,Red
1703cc35-531a-333f-867a-788d8e6f51b7,a,SK,SK1084,NV Masi Campofiorin,Blend,Red
1703cc35-531a-333f-867a-788d8e6f51b7,a,NL,NL1348,NV Masi Campofiorin,Corvina Blend,
1703cc35-531a-333f-867a-788d8e6f51b7,a,PEI,PEI1301,NV Masi Campofiorin,Corvina,Red
1703cc35-531a-333f-867a-788d8e6f51b7,a,PEI,PEI1305,NV Masi Campofiorin,Corvina,Red
1774b118-bef2-370b-8d53-af72d7bc00e6,a,ON,ON9311,NV Jackson-Triggs Cabernet Sauvignon,Cabernet Sauvignon,
1774b118-bef2-370b-8d53-af72d7bc00e6,a,ON,ON8141,NV Jackson-Triggs Cabernet Sauvignon,Cabernet Sauvignon,
1774b118-bef2-370b-8d53-af72d7bc00e6,a,PEI,PEI1062,NV Jackson-Triggs Cabernet Sauvignon,Cabernet Sauvignon,Red
1774b118-bef2-370b-8d53-af72d7bc00e6,a,PEI,PEI1063,NV Jackson-Triggs Cabernet Sauvignon,Cabernet Sauvignon,Red
1774b118-bef2-370b-8d53-af72d7bc00e6,a,ON,ON10078,NV Jackson-Triggs Cabernet Sauvignon,Cabernet Sauvignon,
1774b118-bef2-370b-8d53-af72d7bc00e6,a,QB,QB5942,NV Jackson-Triggs Cabernet Sauvignon,Cabernet sauvignon 100 %,Red
1774b118-bef2-370b-8d53-af72d7bc00e6,a,PEI,PEI1066,NV Jackson-Triggs Cabernet Sauvignon,Cabernet Sauvignon,Red
17cc88cd-04c9-3dab-9eac-a71481a6e825,a,AB,AB3634,2018 Chateau Haut Brion Rouge,Other,Red
17cc88cd-04c9-3dab-9eac-a71481a6e825,a,AB,AB3633,2018 Chateau Haut Brion Rouge,Other,Red
19864919-d82a-3fc7-942b-08b7aef79991,a,AB,AB3893,2017 Chateau Palmer,Other,Red
19864919-d82a-3fc7-942b-08b7aef79991,a,ON,ON3493,2017 Château Palmer,Bordeaux,
19864919-d82a-3fc7-942b-08b7aef79991,a,ON,ON3466,2017 Château Palmer,Bordeaux,
1c4a20f5-913e-3a89-8fd3-4347118fc362,a,BC,BC2181,NV  Wolf Blass Yellow Label Merlot,Merlot,Red
1c4a20f5-913e-3a89-8fd3-4347118fc362,a,BC,BC1765,NV  Wolf Blass Yellow Label Merlot,Merlot,Red
1c4a20f5-913e-3a89-8fd3-4347118fc362,a,AB,AB17029,NV Wolf Blass Yellow Label Merlot,Merlot,Red
1c4a20f5-913e-3a89-8fd3-4347118fc362,a,SK,SK278,NV Wolf Blass Yellow Label Merlot,Merlot,Red
1c4a20f5-913e-3a89-8fd3-4347118fc362,a,ON,ON8276,NV Wolf Blass Yellow Label Merlot,Merlot,
1c4a20f5-913e-3a89-8fd3-4347118fc362,a,NB,NB874,NV Wolf Blass Yellow Label Merlot,100% Merlot,
1c4a20f5-913e-3a89-8fd3-4347118fc362,a,NL,NL2009,NV Wolf Blass Yellow Label Merlot,Merlot,
1c4a20f5-913e-3a89-8fd3-4347118fc362,a,PEI,PEI1804,NV Wolf Blass Yellow Label Merlot,Merlot,Red
1cb46141-4f98-3fb6-b9e9-50306ac27689,a,QB,QB3307,2015 D'Arenberg The Laughing Magpie Shiraz / Viognier,Shiraz 95 % Viognier 5 %,Red
1cb46141-4f98-3fb6-b9e9-50306ac27689,b,SK,SK1088,NV Johnny Q Shiraz Viognier,Shiraz,
1cb46141-4f98-3fb6-b9e9-50306ac27689,b,AB,AB8620,NV Johnny Q Shiraz Viognier,Blend,Red
1cb46141-4f98-3fb6-b9e9-50306ac27689,c,NB,NB634,NV Yalumba Y Series Shiraz Viognier,95% Shiraz - 5% Viognier,
1cb46141-4f98-3fb6-b9e9-50306ac27689,b,NB,NB411,NV Johnny Q Shiraz Viognier,95% Shiraz - 5% Viognier,
1cb46141-4f98-3fb6-b9e9-50306ac27689,b,MB,MB617,NV Johnny Q Shiraz Viognier,Varietal Blend,Red
1d3ebe12-fd83-3fd4-a2ee-98c96673e53a,a,ON,ON5366,2019 Icardi La Rosa Selvatica Moscato d'Asti DOCG,Moscato,
1d3ebe12-fd83-3fd4-a2ee-98c96673e53a,b,PEI,PEI125,NV Batasiolo Moscato d’Asti Bosc dla Rei,Moscato,White
1d3ebe12-fd83-3fd4-a2ee-98c96673e53a,c,ON,ON5408,2019 Berta Paolo Moscato D'Asti Giardino DOCG,Moscato,
1d3ebe12-fd83-3fd4-a2ee-98c96673e53a,b,ON,ON4775,NV Batasiolo Bosc D'la Rei Moscato D'Asti DOCG,Moscato,
1d3ebe12-fd83-3fd4-a2ee-98c96673e53a,d,ON,ON5444,2019 Cascina Castlet Moscato d'Asti DOCG,Moscato,
1d3ebe12-fd83-3fd4-a2ee-98c96673e53a,e,ON,ON4920,2017 Demarie Moscato d'Asti DOCG,Moscato,
1d3ebe12-fd83-3fd4-a2ee-98c96673e53a,f,ON,ON9593,2018 Moscato d'Asti DOCG,Moscato,
1d3ebe12-fd83-3fd4-a2ee-98c96673e53a,g,NS,NS1821,NV Ruffino Moscato D Asti,Moscato,White
1d3ebe12-fd83-3fd4-a2ee-98c96673e53a,g,BC,BC1902,NV  Ruffino Moscato D'asti,Muscat / Moscato,White
1d4e5219-96e0-32ee-85a2-b20e431e6162,a,ON,ON2737,2016 Domaine de Pulvarel Rouge,Syrah/Grenache,
1d4e5219-96e0-32ee-85a2-b20e431e6162,b,ON,ON3298,2017 Quintessence Red,Syrah/Grenache,
1d4e5219-96e0-32ee-85a2-b20e431e6162,c,ON,ON5652,NV Brancott Estate Marlborough Sauvignon Blanc,Sauvignon Blanc,
1d4e5219-96e0-32ee-85a2-b20e431e6162,d,AB,AB4734,NV Copper Moon Sauvignon Blanc,Sauvignon Blanc,White
1d4e5219-96e0-32ee-85a2-b20e431e6162,c,BC,BC3678,NV  Brancott Estate Marlborough Sauvignon Blanc,Sauvignon Blanc,White
1d4e5219-96e0-32ee-85a2-b20e431e6162,e,NB,NB783,NV Dr Zenzen Apollofalter Riesling,100% Riesling,
1d4e5219-96e0-32ee-85a2-b20e431e6162,f,NB,NB1306,NV Dr Heidemanns Bernkasteler Badstube Riesling Kabinett,100% Riesling,
1d4e5219-96e0-32ee-85a2-b20e431e6162,d,SK,SK231,NV Copper Moon Sauvignon Blanc,Sauvignon Blanc,White
1d4e5219-96e0-32ee-85a2-b20e431e6162,g,MB,MB296,NV Vin (zero) Brut Blanc,Sparkling Other,Zero Alcohol
1d4e5219-96e0-32ee-85a2-b20e431e6162,h,MB,MB340,NV Thomas Goss Sparkling Shiraz,Sparkling Other,Sparkling
1d6171aa-c0c6-3791-8c88-741c3f9228e7,a,MB,MB360,NV The Show Cabernet Sauvignon,Cabernet Sauvignon,Red
1d6171aa-c0c6-3791-8c88-741c3f9228e7,b,QB,QB4122,2016 Château Ksara Cabernet Sauvignon,Cabernet sauvignon 100 %,Red
1d6171aa-c0c6-3791-8c88-741c3f9228e7,a,SK,SK1311,NV The Show Cabernet Sauvignon,Cabernet Sauvignon,Red
1d6171aa-c0c6-3791-8c88-741c3f9228e7,a,PEI,PEI1725,NV The Show Cabernet Sauvignon,Cabernet Sauvignon,Red
1d6171aa-c0c6-3791-8c88-741c3f9228e7,a,QB,QB1207,NV The Show Cabernet Sauvignon,Cabernet sauvignon 100 %,Red
1d6171aa-c0c6-3791-8c88-741c3f9228e7,c,QB,QB7226,2016 Schrader Cabernet-Sauvignon GIII Beckstoffer To Kalon Vineyard Napa Valley,Cabernet sauvignon 100 %,Red
1d6171aa-c0c6-3791-8c88-741c3f9228e7,d,QB,QB487,2019 El Esteco Don David Reserve Cabernet Sauvignon Calchaqui Valley,Cabernet sauvignon 100 %,Red
1d6171aa-c0c6-3791-8c88-741c3f9228e7,a,NL,NL1813,NV The Show Cabernet Sauvignon,Cabernet Sauvignon Blend,
1d6171aa-c0c6-3791-8c88-741c3f9228e7,a,ON,ON7018,NV The Show Cabernet Sauvignon,Cabernet Sauvignon,
1d6171aa-c0c6-3791-8c88-741c3f9228e7,a,NB,NB1038,NV The Show Cabernet Sauvignon,86% Cabernet Sauvignon - 12% Petite Sirah - 2% Zinfandel,
1d944817-939d-3550-8741-09223fe2c7c4,a,NL,NL1522,NV Peller Family Vineyards Pinot Grigio,Pinot Grigio,
1d944817-939d-3550-8741-09223fe2c7c4,a,ON,ON8008,NV Peller Family Vineyards Pinot Grigio,Pinot Grigio,
1d944817-939d-3550-8741-09223fe2c7c4,a,NL,NL1520,NV Peller Family Vineyards Pinot Grigio,Pinot Grigio,
1d944817-939d-3550-8741-09223fe2c7c4,a,NB,NB1579,NV Peller Family Vineyards Pinot Grigio,75% Pinot Grigio - 25% Other/Autre,
1d944817-939d-3550-8741-09223fe2c7c4,a,AB,AB12241,NV Peller Family Vineyards Pinot Grigio,Pinot Grigio,White
1d944817-939d-3550-8741-09223fe2c7c4,a,NB,NB60,NV Peller Family Vineyards Pinot Grigio,75% Pinot Grigio - 25% Other/Autre,
1d944817-939d-3550-8741-09223fe2c7c4,a,SK,SK1010,NV Peller Family Vineyards Pinot Grigio,Pinot Grigio,White
1d944817-939d-3550-8741-09223fe2c7c4,a,SK,SK294,NV Peller Family Vineyards Pinot Grigio,Pinot Grigio,White
1d944817-939d-3550-8741-09223fe2c7c4,a,NL,NL1523,NV Peller Family Vineyards Pinot Grigio,Pinot Grigio,
1d944817-939d-3550-8741-09223fe2c7c4,a,ON,ON866,NV Peller Family Vineyards Pinot Grigio,Pinot Grigio,
1f12030a-8b89-3e03-b176-e9d4cda22092,a,NB,NB152,NV Bodacious Cabernet Sauvignon,85% Cabernet Sauvignon - 15% Shiraz,
1f12030a-8b89-3e03-b176-e9d4cda22092,a,PEI,PEI376,NV Bodacious Cabernet Sauvignon,"Cabernet Sauvignon, Shiraz",Red
1f12030a-8b89-3e03-b176-e9d4cda22092,a,PEI,PEI381,NV Bodacious Cabernet Sauvignon,Cabernet Sauvignon,Red
1f12030a-8b89-3e03-b176-e9d4cda22092,a,NS,NS281,NV Bodacious Cabernet Sauvignon,Cabernet Sauvignon,Red
1f12030a-8b89-3e03-b176-e9d4cda22092,a,AB,AB1676,NV Bodacious Cabernet Sauvignon,Cabernet Sauvignon,Red
1f12030a-8b89-3e03-b176-e9d4cda22092,a,ON,ON894,NV Bodacious Cabernet Sauvignon,,
1f12030a-8b89-3e03-b176-e9d4cda22092,a,SK,SK1280,NV Bodacious Cabernet Sauvignon,Cabernet Sauvignon,Red
1f12030a-8b89-3e03-b176-e9d4cda22092,a,NL,NL199,NV Bodacious Cabernet Sauvignon,Cabernet Sauvignon,
1f12030a-8b89-3e03-b176-e9d4cda22092,a,ON,ON801,NV Bodacious Cabernet Sauvignon,Cabernet Sauvignon,
1f12030a-8b89-3e03-b176-e9d4cda22092,a,ON,ON8225,NV Bodacious Cabernet Sauvignon,Cabernet Sauvignon,
1f28f8a5-a473-370e-8d7e-da254071d2b8,a,ON,ON812,NV Black Cellar Shiraz Cabernet,Shiraz/Cabernet,
